198.228.216.153 - - [25/Jul/2013:13:21:57 -0700] "GET /ajax_page.js HTTP/1.1" 200 1879 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /niceforms.js HTTP/1.1" 200 2583 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /donsmenu.gif HTTP/1.1" 200 7437 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /buy.jpg HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /dh_2sm.gif HTTP/1.1" 200 10695 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /mainbar.jpg HTTP/1.1" 200 40110 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /moutinsky.jpg HTTP/1.1" 200 10201 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /fposter.gif HTTP/1.1" 200 1392 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /DonCD1.jpg HTTP/1.1" 200 15462 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /mm/stationery/ThumbnailGrid/dh_2077sm.gif HTTP/1.1" 200 10731 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /actingmenu.gif HTTP/1.1" 200 1176 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /pic2.gif HTTP/1.1" 200 39807 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /mm/stationery/ThumbnailGrid/dh_5032sm.gif HTTP/1.1" 200 12502 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:58 -0700] "GET /mm/stationery/ThumbnailGrid/DHsm1.gif HTTP/1.1" 200 9051 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:59 -0700] "GET /dh.gif HTTP/1.1" 200 1466 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:21:59 -0700] "GET /dh_3sm.gif HTTP/1.1" 200 10045 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:22:10 -0700] "GET /new-site/ HTTP/1.1" 200 4805 "http://www.donhughescountry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:22:11 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:22:11 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:22:12 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 200 1018 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
198.228.216.153 - - [25/Jul/2013:13:22:12 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 1746 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:16:24:31 -0700] "GET /industry_new.php HTTP/1.1" 200 3672 "http://www.google.com/url?sa=i&rct=j&q=don+hughes+country&source=images&cd=&docid=KmPlg2laYaXGHM&tbnid=mJReYcme2mjUAM:&ved=0CAEQjxw&url=http%3A%2F%2Fwww.donhughescountry.com%2Findustry_new.php&ei=qrPxUY7PIsLTiwLE4ICQAg&bvm=bv.49784469,d.cGE&psig=AFQjCNGf5qc1bs8EtRPD0p-YnB50VxN70A&ust=1374880924872668" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "www.donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:16:24:43 -0700] "GET /ajax_page.js HTTP/1.1" 200 1879 "http://donhughescountry.com/index2.php?page=acting" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:16:24:43 -0700] "GET /dh_3sm.gif HTTP/1.1" 200 10045 "http://donhughescountry.com/index2.php?page=acting" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "donhughescountry.com"
159.121.92.148 - - [25/Jul/2013:16:24:43 -0700] "GET /dh.gif HTTP/1.1" 200 1466 "http://donhughescountry.com/index2.php?page=acting" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "donhughescountry.com"
